total_nb_steps,cumulative_reward,loss
340,-110.0,5084.03125
341,-110.0,5084.03125
342,-110.0,5084.03125
343,-110.0,5084.03125
344,-110.0,5084.03125
345,-110.0,5084.03125
346,-110.0,5084.03125
347,-110.0,5084.03125
348,-110.0,5084.03125
349,-110.0,5084.03125
350,-110.0,5084.03125
351,-110.0,5084.03125
352,-110.0,5084.03125
353,-110.0,5084.03125
354,-110.0,5084.03125
355,-110.0,5084.03125
356,-110.0,5084.03125
357,-110.0,5084.03125
358,-110.0,5084.03125
359,-110.0,5084.03125
360,-110.0,4828.7529296875
361,-110.0,4828.7529296875
362,-110.0,4828.7529296875
363,-110.0,4828.7529296875
364,-110.0,4828.7529296875
365,-110.0,4828.7529296875
366,-110.0,4828.7529296875
367,-110.0,4828.7529296875
368,-110.0,4828.7529296875
369,-110.0,4828.7529296875
370,-110.0,4828.7529296875
371,-110.0,4828.7529296875
372,-110.0,4828.7529296875
373,-110.0,4828.7529296875
374,-110.0,4828.7529296875
375,-110.0,4828.7529296875
376,-110.0,4828.7529296875
377,-110.0,4828.7529296875
378,-110.0,4828.7529296875
379,-110.0,4828.7529296875
380,-110.0,4741.5439453125
381,-110.0,4741.5439453125
382,-110.0,4741.5439453125
383,-110.0,4741.5439453125
384,-110.0,4741.5439453125
385,-110.0,4741.5439453125
386,-110.0,4741.5439453125
387,-110.0,4741.5439453125
388,-110.0,4741.5439453125
389,-110.0,4741.5439453125
390,-110.0,4741.5439453125
391,-110.0,4741.5439453125
392,-110.0,4741.5439453125
393,-110.0,4741.5439453125
394,-110.0,4741.5439453125
395,-110.0,4741.5439453125
396,-110.0,4741.5439453125
397,-110.0,4741.5439453125
398,-110.0,4741.5439453125
399,-110.0,4741.5439453125
400,-110.0,4215.41259765625
401,-110.0,4215.41259765625
402,-110.0,4215.41259765625
403,-110.0,4215.41259765625
404,-110.0,4215.41259765625
405,-110.0,4215.41259765625
406,-110.0,4215.41259765625
407,-110.0,4215.41259765625
408,-110.0,4215.41259765625
409,-110.0,4215.41259765625
410,-110.0,4215.41259765625
411,-110.0,4215.41259765625
412,-110.0,4215.41259765625
413,-110.0,4215.41259765625
414,-110.0,4215.41259765625
415,-110.0,4215.41259765625
416,-110.0,4215.41259765625
417,-110.0,4215.41259765625
418,-110.0,4215.41259765625
419,-110.0,4215.41259765625
420,-110.0,3737.123779296875
421,-110.0,3737.123779296875
422,-110.0,3737.123779296875
423,-110.0,3737.123779296875
424,-110.0,3737.123779296875
425,-110.0,3737.123779296875
426,-110.0,3737.123779296875
427,-110.0,3737.123779296875
428,-110.0,3737.123779296875
429,-110.0,3737.123779296875
430,-110.0,3737.123779296875
431,-110.0,3737.123779296875
432,-110.0,3737.123779296875
433,-110.0,3737.123779296875
434,-110.0,3737.123779296875
435,-110.0,3737.123779296875
436,-110.0,3737.123779296875
437,-110.0,3737.123779296875
438,-110.0,3737.123779296875
439,-110.0,3737.123779296875
440,-110.0,4229.18798828125
441,-110.0,4229.18798828125
442,-110.0,4229.18798828125
443,-110.0,4229.18798828125
444,-110.0,4229.18798828125
445,-110.0,4229.18798828125
446,-110.0,4229.18798828125
447,-110.0,4229.18798828125
448,-110.0,4229.18798828125
449,-110.0,4229.18798828125
450,-110.0,4229.18798828125
451,-110.0,4229.18798828125
452,-110.0,4229.18798828125
453,-110.0,4229.18798828125
454,-110.0,4229.18798828125
455,-110.0,4229.18798828125
456,-110.0,4229.18798828125
457,-110.0,4229.18798828125
458,-110.0,4229.18798828125
459,-110.0,4229.18798828125
460,-110.0,3993.758056640625
461,-110.0,3993.758056640625
462,-110.0,3993.758056640625
463,-110.0,3993.758056640625
464,-110.0,3993.758056640625
465,-110.0,3993.758056640625
466,-110.0,3993.758056640625
467,-110.0,3993.758056640625
468,-110.0,3993.758056640625
469,-110.0,3993.758056640625
470,-110.0,3993.758056640625
471,-110.0,3993.758056640625
472,-110.0,3993.758056640625
473,-110.0,3993.758056640625
474,-110.0,3993.758056640625
475,-110.0,3993.758056640625
476,-110.0,3993.758056640625
477,-110.0,3993.758056640625
478,-110.0,3993.758056640625
479,-110.0,3993.758056640625
480,-110.0,4168.955078125
481,-110.0,4168.955078125
482,-110.0,4168.955078125
483,-110.0,4168.955078125
484,-110.0,4168.955078125
485,-110.0,4168.955078125
486,-110.0,4168.955078125
487,-110.0,4168.955078125
488,-110.0,4168.955078125
489,-110.0,4168.955078125
490,-110.0,4168.955078125
491,-110.0,4168.955078125
492,-110.0,4168.955078125
493,-110.0,4168.955078125
494,-110.0,4168.955078125
495,-110.0,4168.955078125
496,-110.0,4168.955078125
497,-110.0,4168.955078125
498,-110.0,4168.955078125
499,-110.0,4168.955078125
500,-110.0,2739.866943359375
501,-110.0,2739.866943359375
502,-110.0,2739.866943359375
503,-110.0,2739.866943359375
504,-110.0,2739.866943359375
505,-110.0,2739.866943359375
506,-110.0,2739.866943359375
507,-110.0,2739.866943359375
508,-110.0,2739.866943359375
509,-110.0,2739.866943359375
510,-110.0,2739.866943359375
511,-110.0,2739.866943359375
512,-110.0,2739.866943359375
513,-110.0,2739.866943359375
514,-110.0,2739.866943359375
515,-110.0,2739.866943359375
516,-110.0,2739.866943359375
517,-110.0,2739.866943359375
518,-110.0,2739.866943359375
519,-110.0,2739.866943359375
520,-110.0,3833.000732421875
521,-110.0,3833.000732421875
522,-110.0,3833.000732421875
523,-110.0,3833.000732421875
524,-110.0,3833.000732421875
525,-110.0,3833.000732421875
526,-110.0,3833.000732421875
527,-110.0,3833.000732421875
528,-110.0,3833.000732421875
529,-110.0,3833.000732421875
530,-110.0,3833.000732421875
531,-110.0,3833.000732421875
532,-110.0,3833.000732421875
533,-110.0,3833.000732421875
534,-110.0,3833.000732421875
535,-110.0,3833.000732421875
536,-110.0,3833.000732421875
537,-110.0,3833.000732421875
538,-110.0,3833.000732421875
539,-110.0,3833.000732421875
540,-110.0,3781.208984375
541,-110.0,3781.208984375
542,-110.0,3781.208984375
543,-110.0,3781.208984375
544,-110.0,3781.208984375
545,-110.0,3781.208984375
546,-110.0,3781.208984375
547,-110.0,3781.208984375
548,-110.0,3781.208984375
549,-110.0,3781.208984375
550,-110.0,3781.208984375
551,-110.0,3781.208984375
552,-110.0,3781.208984375
553,-110.0,3781.208984375
554,-110.0,3781.208984375
555,-110.0,3781.208984375
556,-110.0,3781.208984375
557,-110.0,3781.208984375
558,-110.0,3781.208984375
559,-110.0,3781.208984375
560,-110.0,3061.033203125
561,-110.0,3061.033203125
562,-110.0,3061.033203125
563,-110.0,3061.033203125
564,-110.0,3061.033203125
565,-110.0,3061.033203125
566,-110.0,3061.033203125
567,-110.0,3061.033203125
568,-110.0,3061.033203125
569,-110.0,3061.033203125
570,-110.0,3061.033203125
571,-110.0,3061.033203125
572,-110.0,3061.033203125
573,-110.0,3061.033203125
574,-110.0,3061.033203125
575,-110.0,3061.033203125
576,-110.0,3061.033203125
577,-110.0,3061.033203125
578,-110.0,3061.033203125
579,-110.0,3061.033203125
580,-110.0,2454.50634765625
581,-110.0,2454.50634765625
582,-110.0,2454.50634765625
583,-110.0,2454.50634765625
584,-110.0,2454.50634765625
585,-110.0,2454.50634765625
586,-110.0,2454.50634765625
587,-110.0,2454.50634765625
588,-110.0,2454.50634765625
589,-110.0,2454.50634765625
590,-110.0,2454.50634765625
591,-110.0,2454.50634765625
592,-110.0,2454.50634765625
593,-110.0,2454.50634765625
594,-110.0,2454.50634765625
595,-110.0,2454.50634765625
596,-110.0,2454.50634765625
597,-110.0,2454.50634765625
598,-110.0,2454.50634765625
599,-110.0,2454.50634765625
600,-110.0,3506.1484375
601,-110.0,3506.1484375
602,-110.0,3506.1484375
603,-110.0,3506.1484375
604,-110.0,3506.1484375
605,-46.80000000000007,3506.1484375
606,-93.60000000000014,3506.1484375
607,-101.80000000000007,3506.1484375
608,-110.0,3506.1484375
609,-110.0,3506.1484375
610,-110.0,3506.1484375
611,-110.0,3506.1484375
612,-110.0,3506.1484375
613,-110.0,3506.1484375
614,-110.0,3506.1484375
615,-110.0,3506.1484375
616,-110.0,3506.1484375
617,-110.0,3506.1484375
618,-110.0,3506.1484375
619,-110.0,3506.1484375
620,-110.0,2893.874755859375
621,-110.0,2893.874755859375
622,-110.0,2893.874755859375
623,-110.0,2893.874755859375
624,-110.0,2893.874755859375
625,-110.0,2893.874755859375
626,-110.0,2893.874755859375
